timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,ex,ey,ez
1748938416745,-36,16,-986,4,-7,0,-8,19,32,120.05122375488281,2.059954881668091,179.13729858398438
1748938416746,-36,16,-986,4,-7,0,-8,19,32,120.03765869140625,2.0520060062408447,179.14439392089844
1748938416858,-36,16,-986,4,-7,0,-8,19,32,120.03765869140625,2.0520060062408447,179.14439392089844
1748938416859,-36,16,-986,4,-7,0,-8,19,32,120.006591796875,2.059307813644409,179.1403045654297
1748938416959,-38,15,-986,4,-7,0,-9,19,32,120.006591796875,2.059307813644409,179.1403045654297
1748938416959,-38,15,-986,4,-7,0,-9,19,32,120.0130386352539,2.0504353046417236,179.13763427734375
1748938417055,-36,16,-986,4,-7,0,-9,18,33,120.0130386352539,2.0504353046417236,179.13763427734375
1748938417055,-36,16,-986,4,-7,0,-9,18,33,120.0125732421875,2.0381147861480713,179.1328582763672
1748938417167,-37,15,-986,4,-7,0,-9,19,31,120.0125732421875,2.0381147861480713,179.1328582763672
1748938417167,-37,15,-986,4,-7,0,-9,19,31,120.02165985107422,2.043491840362549,179.1393280029297
1748938417270,-35,15,-986,4,-7,0,-8,19,32,120.02165985107422,2.043491840362549,179.1393280029297
1748938417271,-35,15,-986,4,-7,0,-8,19,32,120.01901245117188,2.0358221530914307,179.1414337158203
1748938417379,-37,15,-986,4,-7,0,-9,18,32,120.01901245117188,2.0358221530914307,179.1414337158203
1748938417380,-37,15,-986,4,-7,0,-9,18,32,120.00361633300781,2.0510919094085693,179.14686584472656
1748938417480,-37,15,-986,4,-7,0,-8,19,33,120.00361633300781,2.0510919094085693,179.14686584472656
1748938417480,-37,15,-986,4,-7,0,-8,19,33,120.00386810302734,2.0601344108581543,179.14231872558594
1748938417592,-36,16,-985,4,-7,0,-9,19,32,120.00386810302734,2.0601344108581543,179.14231872558594
1748938417592,-36,16,-985,4,-7,0,-9,19,32,119.99478912353516,2.0548346042633057,179.14483642578125
1748938417691,-37,16,-986,4,-7,0,-9,19,32,119.99478912353516,2.0548346042633057,179.14483642578125
1748938417691,-37,16,-986,4,-7,0,-9,19,32,119.99581146240234,2.0603396892547607,179.1409149169922
