timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,ex,ey,ez
1748592106899,55,-48,913,25,12,21,13,-45,-18,72.17093658447266,-3.4818387031555176,-3.0336532592773438
1748592106899,55,-48,913,25,12,21,13,-45,-18,72.17132568359375,-3.481827735900879,-3.033658266067505
1748592106986,55,-48,913,25,12,21,13,-45,-18,72.17132568359375,-3.481827735900879,-3.033658266067505
1748592106986,55,-48,913,25,12,21,13,-45,-18,72.1717300415039,-3.4818148612976074,-3.033660411834717
1748592107102,55,-48,913,25,12,21,13,-45,-18,72.1717300415039,-3.4818148612976074,-3.033660411834717
1748592107103,55,-48,913,25,12,21,13,-45,-18,72.172119140625,-3.4818012714385986,-3.0336620807647705
1748592107210,55,-48,913,25,12,21,13,-45,-18,72.172119140625,-3.4818012714385986,-3.0336620807647705
1748592107210,55,-48,913,25,12,21,13,-45,-18,72.17244720458984,-3.48179030418396,-3.033663034439087
1748592107301,55,-48,913,25,12,21,13,-45,-18,72.17244720458984,-3.48179030418396,-3.033663034439087
1748592107301,55,-48,913,25,12,21,13,-45,-18,72.1728286743164,-3.481778144836426,-3.033665895462036
1748592107408,55,-48,913,25,12,21,13,-45,-18,72.1728286743164,-3.481778144836426,-3.033665895462036
1748592107408,55,-48,913,25,12,21,13,-45,-18,72.17320251464844,-3.4817662239074707,-3.0336689949035645
1748592107497,55,-48,913,25,12,21,13,-45,-18,72.17320251464844,-3.4817662239074707,-3.0336689949035645
1748592107497,55,-48,913,25,12,21,13,-45,-18,72.17359924316406,-3.4817535877227783,-3.0336718559265137
1748592107609,55,-48,913,25,12,21,13,-45,-18,72.17359924316406,-3.4817535877227783,-3.0336718559265137
1748592107609,55,-48,913,25,12,21,13,-45,-18,72.1739273071289,-3.481743335723877,-3.033673048019409
1748592107796,55,-48,913,25,12,21,13,-45,-18,72.18196105957031,-3.4805469512939453,-3.0270421504974365
1748592107796,55,-48,913,25,12,21,14,-45,-17,72.18196105957031,-3.4805469512939453,-3.0270421504974365
1748592107875,55,-48,913,25,12,21,14,-45,-17,72.18196105957031,-3.4805469512939453,-3.0270421504974365
1748592107875,55,-48,913,25,12,21,14,-45,-17,72.17616271972656,-3.479857921600342,-3.0285964012145996
1748592107927,55,-48,913,25,12,21,14,-45,-17,72.17616271972656,-3.479857921600342,-3.0285964012145996
1748592107927,55,-48,913,25,12,21,14,-45,-17,72.16985321044922,-3.479358196258545,-3.0299832820892334
1748592108015,55,-48,913,25,12,21,14,-45,-17,72.16985321044922,-3.479358196258545,-3.0299832820892334
1748592108015,55,-48,913,25,12,21,14,-45,-17,72.1644515991211,-3.4790751934051514,-3.030925750732422
1748592108142,55,-48,913,25,12,21,14,-45,-17,72.1644515991211,-3.4790751934051514,-3.030925750732422
1748592108142,55,-48,913,25,12,21,14,-45,-17,72.15922546386719,-3.4789016246795654,-3.0316555500030518
1748592108223,55,-48,913,25,12,21,14,-45,-17,72.15922546386719,-3.4789016246795654,-3.0316555500030518
1748592108223,55,-48,913,25,12,21,14,-45,-17,72.153564453125,-3.4787991046905518,-3.0322818756103516
1748592108322,55,-48,913,25,12,21,14,-45,-17,72.153564453125,-3.4787991046905518,-3.0322818756103516
1748592108322,55,-48,913,25,12,21,14,-45,-17,72.148681640625,-3.4787697792053223,-3.032703399658203
1748592108420,55,-48,913,25,12,21,14,-45,-17,72.148681640625,-3.4787697792053223,-3.032703399658203
1748592108420,55,-48,913,25,12,21,14,-45,-17,72.14338684082031,-3.47878098487854,-3.0330610275268555
1748592108527,55,-48,913,25,12,21,14,-45,-17,72.14338684082031,-3.47878098487854,-3.0330610275268555
1748592108527,55,-48,913,25,12,21,14,-45,-17,72.13890075683594,-3.4788196086883545,-3.033302068710327
1748592108692,55,-48,913,25,12,21,14,-45,-17,72.13890075683594,-3.4788196086883545,-3.033302068710327
1748592108692,55,-48,913,25,12,21,14,-45,-17,72.13396453857422,-3.478888750076294,-3.033504009246826
1748592108725,55,-48,913,25,12,21,14,-45,-17,72.13396453857422,-3.478888750076294,-3.033504009246826
1748592108758,55,-48,913,25,12,21,14,-45,-17,72.12980651855469,-3.478961944580078,-3.0336382389068604
1748592108825,55,-48,913,25,12,21,14,-45,-17,72.12980651855469,-3.478961944580078,-3.0336382389068604
1748592108825,55,-48,913,25,12,21,14,-45,-17,72.12523651123047,-3.4790542125701904,-3.033747673034668
1748592108930,55,-48,913,25,12,21,14,-45,-17,72.12088012695312,-3.4791533946990967,-3.033827543258667
1748592108930,55,-48,913,25,12,21,14,-45,-17,72.12088012695312,-3.4791533946990967,-3.033827543258667
1748592109035,55,-48,913,25,12,21,14,-45,-17,72.12088012695312,-3.4791533946990967,-3.033827543258667
1748592109035,55,-48,913,25,12,21,14,-45,-17,72.11714935302734,-3.4792444705963135,-3.0338778495788574
1748592109130,55,-48,913,25,12,21,14,-45,-17,72.11714935302734,-3.4792444705963135,-3.0338778495788574
1748592109130,55,-48,913,25,12,21,14,-45,-17,72.11355590820312,-3.4793360233306885,-3.0339131355285645
